p,inv_alpha_pred,inv_alpha_err_ppm,v_EW_pred,v_EW_err_pct,core_score_pct,n_s_pred,n_s_sigma,dist_from_lo,dist_from_hi,is_baseline,curvature,robustness,classification
106907,137.5078504,3443.265,245.489523,0.296677,0.321386,0.96839499,0.8321,0.44365,0.55635,0,2.303e-09,0.00322978,RMS-optimal|robust-interior|robust
106903,137.50698386,3436.942,245.485871,0.29816,0.321733,0.9683946,0.832,0.44305,0.55695,0,2.276e-09,0.00323505,RMS-optimal|robust-interior|robust
107599,137.65731797,4533.983,246.119946,0.040636,0.321886,0.96846289,0.8483,0.54695,0.45305,0,2.265e-09,0.00326078,RMS-optimal|robust-interior|robust
107603,137.65817939,4540.269,246.123582,0.039159,0.322237,0.96846328,0.8484,0.54754,0.45246,0,2.248e-09,0.00326078,RMS-optimal|robust-interior|robust
107609,137.65947146,4549.698,246.129038,0.036944,0.322771,0.96846387,0.8485,0.54844,0.45156,0,2.234e-09,0.00326078,RMS-optimal|robust-interior|robust
107621,137.66205541,4568.554,246.139947,0.032513,0.323863,0.96846504,0.8488,0.55023,0.44977,0,2.209e-09,0.00326078,RMS-optimal|robust-interior|robust
106877,137.50135062,3395.834,245.462136,0.3078,0.324081,0.96839204,0.8314,0.43917,0.56083,0,2.254e-09,0.00326256,RMS-optimal|robust-interior|robust
106871,137.50005046,3386.347,245.456658,0.310024,0.324645,0.96839145,0.8313,0.43827,0.56173,0,2.232e-09,0.0032668,RMS-optimal|robust-interior|robust
106867,137.49918365,3380.021,245.453006,0.311508,0.325025,0.96839105,0.8312,0.43768,0.56232,0,2.221e-09,0.00328133,RMS-optimal|robust-interior|robust
106861,137.49788339,3370.533,245.447528,0.313733,0.325602,0.96839046,0.8311,0.43678,0.56322,0,2.214e-09,0.00329202,RMS-optimal|robust-interior|robust
107641,137.6663614,4599.976,246.158128,0.025129,0.325752,0.968467,0.8493,0.55322,0.44678,0,2.184e-09,0.00328225,RMS-optimal|robust-interior|robust
106859,137.49744995,3367.37,245.445701,0.314474,0.325796,0.96839026,0.831,0.43648,0.56352,0,2.205e-09,0.00329202,RMS-optimal|robust-interior|robust
107647,137.66765306,4609.402,246.163582,0.022914,0.326336,0.96846758,0.8494,0.55411,0.44589,0,2.151e-09,0.00329465,RMS-optimal|robust-interior|robust
106853,137.49614959,3357.881,245.440223,0.316699,0.326383,0.96838967,0.8309,0.43559,0.56441,0,2.18e-09,0.00330191,RMS-optimal|robust-interior|robust
107671,137.67281903,4647.1,246.185396,0.014054,0.32875,0.96846992,0.85,0.5577,0.4423,0,2.12e-09,0.00332737,vEW-optimal|RMS-optimal|robust-interior|robust
106823,137.48964681,3310.427,245.412827,0.327826,0.329438,0.96838671,0.8302,0.43111,0.56889,0,2.142e-09,0.00332772,RMS-optimal|robust-interior|robust
107687,137.67626242,4672.227,246.199937,0.008149,0.330427,0.96847149,0.8504,0.56008,0.43992,0,2.089e-09,0.00334765,vEW-optimal|RMS-optimal|robust-interior|robust
107693,137.67755357,4681.649,246.205389,0.005934,0.331069,0.96847207,0.8505,0.56098,0.43902,0,2.07e-09,0.00334765,vEW-optimal|RMS-optimal|robust-interior|robust
107699,137.67884466,4691.071,246.210841,0.00372,0.331719,0.96847266,0.8506,0.56187,0.43813,0,2.052e-09,0.00335462,vEW-optimal|RMS-optimal|robust-interior|robust
106801,137.48487705,3275.621,245.392734,0.335986,0.331801,0.96838454,0.8297,0.42783,0.57217,0,2.098e-09,0.00334331,RMS-optimal|robust-interior|robust
107713,137.68185694,4713.052,246.223563,0.001447,0.333265,0.96847402,0.851,0.56396,0.43604,0,2.035e-09,0.00337514,vEW-optimal|RMS-optimal|robust-interior|robust
106787,137.48184127,3253.468,245.379947,0.34118,0.333357,0.96838316,0.8293,0.42574,0.57426,0,2.071e-09,0.00335412,RMS-optimal|robust-interior|robust
107717,137.68271752,4719.332,246.227197,0.002923,0.333714,0.96847441,0.8511,0.56456,0.43544,0,2.021e-09,0.00337514,vEW-optimal|RMS-optimal|robust-interior|robust
106783,137.48097384,3247.138,245.376293,0.342664,0.33381,0.96838277,0.8292,0.42514,0.57486,0,2.057e-09,0.00335412,RMS-optimal|robust-interior|robust
107719,137.6831478,4722.472,246.229014,0.003661,0.333939,0.96847461,0.8511,0.56486,0.43514,0,2.002e-09,0.00337514,vEW-optimal|RMS-optimal|robust-interior|robust
106781,137.48054012,3243.973,245.374466,0.343406,0.334037,0.96838257,0.8292,0.42484,0.57516,0,2.038e-09,0.00335412,RMS-optimal|robust-interior|robust
107741,137.68788042,4757.008,246.249002,0.011779,0.336474,0.96847675,0.8516,0.56814,0.43186,0,1.981e-09,0.00339675,vEW-optimal|RMS-optimal|robust-interior
106759,137.47576863,3209.153,245.354368,0.351568,0.336591,0.9683804,0.8287,0.42156,0.57844,0,2.017e-09,0.00336899,RMS-optimal|robust-interior|robust
107747,137.68917098,4766.426,246.254453,0.013993,0.337182,0.96847734,0.8517,0.56904,0.43096,0,1.951e-09,0.00339675,vEW-optimal|robust-interior
106753,137.47446717,3199.656,245.348886,0.353795,0.337305,0.9683798,0.8285,0.42066,0.57934,0,1.996e-09,0.00337427,robust-interior|robust
106751,137.47403333,3196.49,245.347059,0.354537,0.337544,0.96837961,0.8285,0.42036,0.57964,0,1.988e-09,0.00337427,robust-interior|robust
